service_prefix,name,SOC,PCI,ISO,FedRAMP_High,FedRAMP_Moderate,HIPAA,HITRUST,IRAP,OSPAR,FINMA
elemental-appliances-software,AWS Elemental Appliances and Software,,,,,,,,,,
elemental-support-cases,Elemental Support Cases,,,,,,,,,,
elemental-support-content,Elemental Support Content,,,,,,,,,,
emr-containers,Amazon EMR on EKS (EMR Containers),,,,,,,,,,
es,Amazon Elasticsearch Service,true,true,true,true,true,true,,true,true,true
events,Amazon EventBridge,true,true,true,true,true,true,,true,,true
execute-api,Amazon API Gateway,true,true,true,true,true,true,,true,true,true
firehose,Amazon Kinesis Firehose,true,true,true,true,true,true,,true,true,true
fms,AWS Firewall Manager,true,true,true,,,true,,true,true,true
forecast,Amazon Forecast,true,true,true,,,true,,,true,true
frauddetector,Amazon Fraud Detector,,,,,,,,,,
freertos,Amazon FreeRTOS,true,true,true,,,true,,,true,true
fsx,Amazon FSx,true,true,true,,,true,,true,true,true
gamelift,Amazon GameLift,,,,,,,,,,
geo,Amazon Location,,,,,,,,,,
glacier,Amazon Glacier,true,true,true,true,true,true,,true,true,true
globalaccelerator,AWS Global Accelerator,true,true,true,,,true,,,true,true
glue,AWS Glue,true,true,true,true,true,true,,true,true,true
greengrass,AWS IoT Greengrass,true,true,true,true,true,true,,true,true,true
groundstation,AWS Ground Station,,true,true,,,,,,,
groundtruthlabeling,Amazon GroundTruth Labeling,,,,,,,,,,
guardduty,Amazon GuardDuty,true,true,true,true,true,true,,true,true,true
health,AWS Health APIs and Notifications,true,true,true,,,true,,,,true
honeycode,Amazon Honeycode,,,,,,,,,,
iam,Identity And Access Management,true,true,true,true,true,true,,true,true,true
identitystore,AWS Identity Store,,,,,,,,,,
imagebuilder,Amazon EC2 Image Builder,,,,,,,,,,
importexport,AWS Import Export Disk Service,true,true,true,true,true,true,,,true,true
inspector,Amazon Inspector,true,true,true,true,true,true,,true,,true
iot,AWS IoT,true,true,true,true,true,true,,true,true,true
iot-device-tester,AWS IoT Device Tester,true,true,true,true,true,true,,true,true,true
iot1click,AWS IoT 1-Click,,,true,,,,,,,
iotanalytics,AWS IoT Analytics,,,true,,,,,,,
iotdeviceadvisor,AWS IoT Core Device Advisor,true,true,true,true,true,true,,true,true,true
iotevents,AWS IoT Events,true,true,true,,,true,,,,true
